DISC MP4	TRACK	ARTIST	TITLE	LOCATION	FILE	TIME START	TIME END						
5	3	Various	Band Aid - Germany	Video [Germany]	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:06:05.000	00:08:40.000						
5	4	Various	Live Aid - Japan	Video [Japan]	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:08:40.000	00:09:52.000						
5	5	Autograph	Live Aid - USSR	Video [USSR]	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:09:52.000	00:12:08.000						
5	6	Yu Rock Mission	Live Aid - Yugoslavia	Video [Yugoslavia]	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:12:08.000	00:13:51.000						
5	7	All of Us	Live Aid - Norway	Video [Norway]	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:13:51.000	00:17:35.000						
5	8	David Bowie + Mick Jagger	Dancing in the Streets	Video	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:17:35.000	00:20:29.000						
													
6	1	Documentary	Food Trucks and Rock 'N' Roll	Video	Live Aid (1985) - S01E06 - Disc 4 Documentary.mp4	00:00:00.000	01:05:03.000						
													
7	1	BBC	Opening Segments	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:00:00.000	00:12:00.000						
7	2	Coldstream Guards	Introduced by Richard Skinner - Royal Salute [Arrival of Prince and Princess of Wales]	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:12:00.000	00:12:25.000						
7	3	Coldstream Guards	"God Save the Queen [Note: First six bars only, Introduced by Tommy Vance]"	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:12:25.000	00:13:25.000						
7	4	Status Quo	Introduction by Tommy Vance	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:13:25.000	00:13:47.000						
7	5	Status Quo	Rockin' All Over the World	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:13:47.000	00:17:41.000						
7	6	Status Quo	Caroline	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:17:41.000	00:22:15.000						
7	7	Status Quo	Don't Waste My Time	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:22:15.000	00:26:49.000						
7	8	The Style Council	Introduction by Tommy Vance	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:31:00.000	00:31:25.000						
7	9	The Style Council	You're the Best Thing	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:31:25.000	00:36:25.000						
7	10	The Style Council	Big Boss Groove	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:36:25.000	00:40:20.000						
7	11	The Style Council	Internationalists	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:40:20.000	00:43:10.000						
7	12	The Style Council	Walls Come Tumbling Down!	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:43:10.000	00:46:46.000						
7	13	The Boomtown Rats	Introduction by Tommy Vance	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:56:00.000	00:56:21.000						
7	14	The Boomtown Rats	I Don't Like Mondays	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	00:56:21.000	01:01:38.000						
7	15	The Boomtown Rats	Drag Me Down	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:01:38.000	01:05:41.000						
7	16	The Boomtown Rats	Rat Trap	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:05:41.000	01:11:18.000						
7	17	Adam Ant	Introduction by Harvey Goldsmith	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:13:00.000	01:13:55.000						
7	18	Adam Ant	Vive Le Rock	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:13:55.000	01:17:21.000						
7	19	Oz for Africa	Introduction by Ian Meldrum	Video - Australia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:18:00.000	01:19:00.000						
7	20	Oz for Africa	Music	Video - Australia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:19:00.000	01:30:00.000						
7	21	Ultravox	Reap the Wild Wind	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:29:00.000	01:31:58.000						
7	22	Ultravox	Dancing with Tears in My Eyes	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:31:58.000	01:37:07.000						
7	23	Ultravox	One Small Day	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:37:07.000	01:40:56.000						
7	24	Ultravox	Vienna	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:40:56.000	01:45:42.000						
7	25	Loudness	Gotta Fight	Video - Japan	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:46:00.000	01:47:56.000						
7	26	Off Cause	Endless Night	Video - Japan	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:47:56.000	01:49:54.000						
7	27	Eikichi Yazawa	Take It Time	Video - Japan	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:49:54.000	01:51:45.000						
