DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	09:44:29	09:47:27	1985-07-13	14:44:29	14:47:27	02:56:29	02:59:27	02:48:50	02:51:48	00:02:58	Video [Netherlands]	B.B. King	Don't Answer the Door	JVC North Sea Jazz Festival
1985-07-13	09:45:00	09:45:20	1985-07-13	14:45:00	14:45:20	02:57:00	02:57:20	02:49:21	02:49:41	00:00:20	Philadelphia	Billy Ocean	Introduction by Chevy Chase	
1985-07-13	09:45:20	09:49:28	1985-07-13	14:45:20	14:49:28	02:57:20	03:01:28	02:49:41	02:53:49	00:04:08	Philadelphia	Billy Ocean	Caribbean Queen	
1985-07-13	09:47:27	09:49:33	1985-07-13	14:47:27	14:49:33	02:59:27	03:01:33	02:51:48	02:53:54	00:02:06	Video [Netherlands]	B.B. King	Rock Me Baby	JVC North Sea Jazz Festival
1985-07-13	09:49:28	09:53:06	1985-07-13	14:49:28	14:53:06	03:01:28	03:05:06	02:53:49	02:57:27	00:03:38	Philadelphia	Billy Ocean	Loverboy	
1985-07-13	09:53:00	09:53:13	1985-07-13	14:53:00	14:53:13	03:05:00	03:05:13	02:57:21	02:57:34	00:00:13	London	Sade	Introduction	
1985-07-13	09:53:13	09:58:48	1985-07-13	14:53:13	14:58:48	03:05:13	03:10:48	02:57:34	03:03:09	00:05:35	London	Sade	Why Can't We Live Together	
1985-07-13	09:55:00	09:55:20	1985-07-13	14:55:00	14:55:20	03:07:00	03:07:20	02:59:21	02:59:41	00:00:20	Philadelphia	Black Sabbath	Introduction by Chevy Chase	
1985-07-13	09:55:20	09:59:38	1985-07-13	14:55:20	14:59:38	03:07:20	03:11:38	02:59:41	03:03:59	00:04:18	Philadelphia	Black Sabbath	Children of the Grave	
1985-07-13	09:58:48	10:03:22	1985-07-13	14:58:48	15:03:22	03:10:48	03:15:22	03:03:09	03:07:43	00:04:34	London	Sade	Your Love Is King	
1985-07-13	09:59:38	10:07:22	1985-07-13	14:59:38	15:07:22	03:11:38	03:19:22	03:03:59	03:11:43	00:07:44	Philadelphia	Black Sabbath	Iron Man	
1985-07-13	10:03:22	10:09:32	1985-07-13	15:03:22	15:09:32	03:15:22	03:21:32	03:07:43	03:13:53	00:06:10	London	Sade	Is It a Crime?	
1985-07-13	10:07:22	10:10:40	1985-07-13	15:07:22	15:10:40	03:19:22	03:22:40	03:11:43	03:15:01	00:03:18	Philadelphia	Black Sabbath	Paranoid	
1985-07-13	10:10:00	10:10:30	1985-07-13	15:10:00	15:10:30	03:22:00	03:22:30	03:14:21	03:14:51	00:00:30	Video [Yugoslavia]	Yu Rock Mission	Introduction by Mladen Popovic	
1985-07-13	10:10:30	10:15:12	1985-07-13	15:10:30	15:15:12	03:22:30	03:27:12	03:14:51	03:19:33	00:04:42	Video [Yugoslavia]	Yu Rock Mission	For a Million Years	
1985-07-13	10:12:00	10:12:20	1985-07-13	15:12:00	15:12:20	03:24:00	03:24:20	03:16:21	03:16:41	00:00:20	Philadelphia	Run–D.M.C.	Introduction by Joe Piscopo	
1985-07-13	10:12:20	10:15:20	1985-07-13	15:12:20	15:15:20	03:24:20	03:27:20	03:16:41	03:19:41	00:03:00	Philadelphia	Run–D.M.C.	Jam Master Jay	
1985-07-13	10:15:20	10:19:44	1985-07-13	15:15:20	15:19:44	03:27:20	03:31:44	03:19:41	03:24:05	00:04:24	Philadelphia	Run–D.M.C.	King of Rock	
1985-07-13	10:18:00	10:20:26	1985-07-13	15:18:00	15:20:26	03:30:00	03:32:26	03:22:21	03:24:47	00:02:26	London	Sting	Introduction by Noel Edmonds	
1985-07-13	10:20:26	10:24:04	1985-07-13	15:20:26	15:24:04	03:32:26	03:36:04	03:24:47	03:28:25	00:03:38	London	Sting	Roxanne	
1985-07-13	10:24:04	10:27:21	1985-07-13	15:24:04	15:27:21	03:36:04	03:39:21	03:28:25	03:31:42	00:03:17	London	Sting	Driven to Tears	
1985-07-13	10:27:00	10:27:20	1985-07-13	15:27:00	15:27:20	03:39:00	03:39:20	03:31:21	03:31:41	00:00:20	Philadelphia	Rick Springfield	Introduction by Joe Piscopo	
1985-07-13	10:27:20	10:30:57	1985-07-13	15:27:20	15:30:57	03:39:20	03:42:57	03:31:41	03:35:18	00:03:37	Philadelphia	Rick Springfield	Love Somebody	
1985-07-13	10:27:21	10:30:46	1985-07-13	15:27:21	15:30:46	03:39:21	03:42:46	03:31:42	03:35:07	00:03:25	London	Phil Collins	Against All Odds	
1985-07-13	10:30:46	10:35:18	1985-07-13	15:30:46	15:35:18	03:42:46	03:47:18	03:35:07	03:39:39	00:04:32	London	Sting	Message in a Bottle	
1985-07-13	10:30:57	10:35:01	1985-07-13	15:30:57	15:35:01	03:42:57	03:47:01	03:35:18	03:39:22	00:04:04	Philadelphia	Rick Springfield	State of the Heart	
1985-07-13	10:35:01	10:37:24	1985-07-13	15:35:01	15:37:24	03:47:01	03:49:24	03:39:22	03:41:45	00:02:23	Philadelphia	Rick Springfield	Human Touch	
1985-07-13	10:35:18	10:40:03	1985-07-13	15:35:18	15:40:03	03:47:18	03:52:03	03:39:39	03:44:24	00:04:45	London	Phil Collins	In the Air Tonight	
1985-07-13	10:40:03	10:43:33	1985-07-13	15:40:03	15:43:33	03:52:03	03:55:33	03:44:24	03:47:54	00:03:30	London	Sting + Phil Collins + Branford Marsalis	Long Long Way to Go	
1985-07-13	10:43:33	10:46:45	1985-07-13	15:43:33	15:46:45	03:55:33	03:58:45	03:47:54	03:51:06	00:03:12	London	Sting + Phil Collins + Branford Marsalis	Every Breath You Take	
1985-07-13	10:47:00	10:47:20	1985-07-13	15:47:00	15:47:20	03:59:00	03:59:20	03:51:21	03:51:41	00:00:20	Philadelphia	REO Speedwagon	Introduction by Chevy Chase	
1985-07-13	10:47:20	10:52:45	1985-07-13	15:47:20	15:52:45	03:59:20	04:04:45	03:51:41	03:57:06	00:05:25	Philadelphia	REO Speedwagon	Can't Fight This Feeling	
1985-07-13	10:49:00	10:49:48	1985-07-13	15:49:00	15:49:48	04:01:00	04:01:48	03:53:21	03:54:09	00:00:48	London	Howard Jones	Introduction by Andy Peebles	
1985-07-13	10:49:48	10:53:44	1985-07-13	15:49:48	15:53:44	04:01:48	04:05:44	03:54:09	03:58:05	00:03:56	London	Howard Jones	Hide and Seek	
