DISC MP4	TRACK	ARTIST	TITLE	LOCATION	TIME START	TIME END	FILE
8	141	Dire Straits	Sultans of Swing	London	06:12:40.000	06:23:57.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	142	George Thorogood + Bo Didley	Introduction by George Segal	Philadelphia	06:30:21.000	06:30:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	143	George Thorogood + Bo Didley	Who Do You Love?	Philadelphia	06:30:41.000	06:36:15.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	144	George Thorogood	Tuning	Philadelphia	06:36:15.000	06:37:14.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	145	George Thorogood	The Sky Is Crying	Philadelphia	06:37:14.000	06:43:17.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	146	George Thorogood + Albert Collins	Madison Blues	Philadelphia	06:43:17.000	06:48:27.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	147	Griff Rhys-Jones + Mel Smith	Introduction by Andy Peebles	London	06:43:21.000	06:45:12.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	148	Griff Rhys-Jones + Mel Smith	An Old Lady is Complaining About the Noise	London	06:45:12.000	06:45:32.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	149	Queen	Bohemian Rhapsody [Note: First part only]	London	06:45:21.000	06:47:43.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	150	Queen	Radio Ga Ga	London	06:47:43.000	06:51:43.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	151	Queen	Interactive: Audience Call and Response	London	06:51:43.000	06:52:23.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	152	Queen	Hammer to Fall	London	06:52:23.000	06:57:09.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	153	Queen	Crazy Little Thing Called Love	London	06:57:09.000	07:00:46.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	154	Queen	We Will Rock You	London	07:00:46.000	07:02:02.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	155	Queen	We Are the Champions	London	07:02:02.000	07:05:43.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	156	David Bowie + Mick Jagger	Introduction by Chevy Chase	Philadelphia	07:06:21.000	07:06:31.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	157	David Bowie + Mick Jagger	Dancing in the Streets	Video	07:06:31.000	07:09:16.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	158	Simple Minds	Introduction by Joe Piscopo	Philadelphia	07:09:21.000	07:09:45.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	159	Simple Minds	Ghost Dancing	Philadelphia	07:09:45.000	07:15:35.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	160	Simple Minds	Don't You (Forget About Me)	Philadelphia	07:15:35.000	07:22:31.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	161	Simple Minds	Promised You a Miracle	Philadelphia	07:22:31.000	07:25:31.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	162	David Bowie	Introduction by Chevy Chase	Philadelphia	07:27:21.000	07:27:37.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	163	David Bowie	Introduction by Andy Peebles	London	07:27:37.000	07:27:47.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	164	David Bowie	TVC 15	London	07:27:47.000	07:31:22.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
